epoch,stage,lr,landm_weight,train_time_s,train_loss,train_reg,train_cls,train_landm,train_nme,train_acc,train_landm_acc,train_landm_acc_eyeL,train_landm_acc_eyeR,train_landm_acc_nose,train_landm_acc_mouthL,train_landm_acc_mouthR,train_pos_precision,train_pos_recall,train_pos_f1,train_neg_precision,train_neg_recall,val_time_s,val_loss,val_reg,val_cls,val_landm,val_nme,val_acc,val_landm_acc,val_landm_acc_eyeL,val_landm_acc_eyeR,val_landm_acc_nose,val_landm_acc_mouthL,val_landm_acc_mouthR,val_pos_precision,val_pos_recall,val_pos_f1,val_neg_precision,val_neg_recall,val_map50,val_map75,val_map
49,2,7.805935326811911e-06,1.0,320.0,10.972896,0.214415,0.594791,9.949276,0.032615,0.999576,0.960982,0.967901,0.967091,0.950665,0.96039,0.958867,0.916024,0.864739,0.889643,0.999732,0.999843,33.6,11.277024,0.214244,0.59536,10.253175,0.032592,0.999587,0.960537,0.966929,0.966957,0.950838,0.959484,0.958474,0.917444,0.869574,0.892868,0.999741,0.999845,,,
50,2,7.715619587402163e-06,1.0,319.3,10.919462,0.213553,0.59172,9.900636,0.032456,0.99958,0.96132,0.968653,0.967129,0.951142,0.960756,0.958924,0.916822,0.866132,0.890756,0.999735,0.999844,34.3,11.115729,0.212153,0.59271,10.098713,0.031987,0.999589,0.960879,0.967413,0.967352,0.951222,0.959462,0.958948,0.917766,0.870282,0.893394,0.999743,0.999845,,,
51,2,7.624029125396002e-06,1.0,323.6,10.878055,0.213368,0.590635,9.860684,0.032287,0.999579,0.961622,0.967989,0.968383,0.951757,0.960974,0.959011,0.916946,0.865747,0.890611,0.999734,0.999845,33.6,11.078678,0.212624,0.593328,10.060103,0.03185,0.999587,0.961669,0.967786,0.967893,0.952112,0.960556,0.959997,0.917633,0.869495,0.892916,0.999741,0.999845,,,
52,2,7.531206933719269e-06,1.0,318.2,10.845015,0.212801,0.590263,9.829149,0.032184,0.999579,0.962005,0.96796,0.968146,0.952375,0.961692,0.959851,0.916734,0.865764,0.89052,0.999734,0.999844,34.0,11.024856,0.21129,0.591991,10.010285,0.031708,0.999588,0.961766,0.96818,0.967905,0.952631,0.960285,0.959828,0.918366,0.869529,0.89328,0.999741,0.999847,,,
53,2,7.4371965834765955e-06,1.0,320.8,10.784234,0.211463,0.589088,9.77222,0.032004,0.999579,0.96224,0.968639,0.968512,0.952601,0.962076,0.959373,0.916556,0.866124,0.890627,0.999735,0.999844,34.3,10.950069,0.211109,0.590788,9.937061,0.031427,0.999589,0.961872,0.96827,0.96804,0.952428,0.960781,0.959839,0.918501,0.869956,0.89357,0.999742,0.999847,,,
54,2,7.342042203498951e-06,1.0,324.8,10.737337,0.211188,0.588057,9.726903,0.031834,0.99958,0.962793,0.968886,0.969052,0.953219,0.962179,0.960629,0.916933,0.866031,0.890755,0.999735,0.999845,34.2,10.976979,0.210615,0.589727,9.966023,0.03157,0.99959,0.962555,0.968902,0.968502,0.953432,0.961244,0.960696,0.917727,0.871081,0.893795,0.999744,0.999845,,,
55,2,7.245788459629395e-06,1.0,324.2,10.715183,0.211824,0.587472,9.704063,0.031745,0.99958,0.962886,0.968888,0.969047,0.953478,0.963163,0.959857,0.91734,0.865775,0.890812,0.999734,0.999845,33.7,10.9031,0.210376,0.589904,9.892443,0.031257,0.999589,0.962747,0.968778,0.968468,0.953973,0.961571,0.960944,0.918845,0.869394,0.893436,0.999741,0.999848,,,
56,2,7.148480533756758e-06,1.0,318.9,10.663586,0.210121,0.58585,9.657495,0.031591,0.999582,0.963193,0.969312,0.969015,0.954077,0.962756,0.960808,0.917168,0.866656,0.891197,0.999736,0.999845,34.4,10.905869,0.210209,0.589194,9.896257,0.03131,0.99959,0.962964,0.969048,0.968536,0.954368,0.961706,0.961159,0.917113,0.872014,0.893995,0.999746,0.999844,,,
57,2,7.05016410260708e-06,1.0,321.6,10.618829,0.20984,0.584413,9.614737,0.031435,0.999581,0.963634,0.969663,0.96935,0.95505,0.963803,0.960303,0.917364,0.865902,0.89089,0.999734,0.999845,34.5,10.836713,0.209028,0.586827,9.831831,0.031074,0.999593,0.963042,0.969082,0.968604,0.954424,0.962067,0.961035,0.918032,0.872351,0.894609,0.999747,0.999845,,,
58,2,6.950885316302772e-06,1.0,338.7,10.579901,0.209413,0.583227,9.577848,0.031321,0.999583,0.96394,0.970131,0.969388,0.955411,0.964144,0.960626,0.9181,0.866614,0.891614,0.999736,0.999847,36.3,10.795008,0.208661,0.58605,9.791636,0.03095,0.999592,0.963394,0.969285,0.96892,0.955236,0.96227,0.96126,0.916832,0.873509,0.894646,0.999749,0.999843,,,
