epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
68,21344.7,0.66807,0.06781,0.05166,0.27408,0.00954,0,0.989,0.98927,0.99327,0.92374,0.98743,0.9877,0.99317,0.99313,0.45141,0.02079,0.00763,0.1391,0.00884,0,0.00293775,0.00293775,0.00293775
69,21593.2,0.6732,0.06562,0.05145,0.27308,0.0096,0,0.99065,0.98888,0.99345,0.92485,0.98908,0.98731,0.99329,0.99326,0.45073,0.02072,0.00761,0.13842,0.00882,0,0.00288656,0.00288656,0.00288656
70,21841.7,0.66619,0.06535,0.05014,0.27242,0.00946,0,0.99009,0.98888,0.99362,0.92534,0.98852,0.98731,0.99353,0.9935,0.44983,0.02079,0.00759,0.13801,0.0088,0,0.0028352,0.0028352,0.0028352
71,22091.5,0.6635,0.06398,0.05009,0.2739,0.00948,0,0.98659,0.99177,0.99365,0.92443,0.98517,0.98979,0.99353,0.9935,0.44902,0.02071,0.00757,0.13868,0.00879,0,0.00278371,0.00278371,0.00278371
72,22339.3,0.66313,0.06369,0.05027,0.27002,0.00942,0,0.98852,0.99114,0.99369,0.92594,0.98695,0.98957,0.99359,0.99355,0.44788,0.02073,0.00756,0.13729,0.00876,0,0.0027321,0.0027321,0.0027321
73,22587.3,0.66719,0.06404,0.0509,0.27095,0.00954,0,0.98867,0.99005,0.99368,0.92628,0.9871,0.98848,0.99359,0.99355,0.44759,0.02073,0.00756,0.13783,0.00876,0,0.00268041,0.00268041,0.00268041
74,22835.5,0.66051,0.06211,0.05091,0.26942,0.00934,0,0.99112,0.98927,0.9937,0.92538,0.98955,0.9877,0.99361,0.99358,0.44701,0.02068,0.00755,0.13721,0.00874,0,0.00262864,0.00262864,0.00262864
75,23084.8,0.65533,0.06409,0.05036,0.26969,0.00931,0,0.98986,0.98992,0.99373,0.92533,0.98829,0.98835,0.9936,0.99357,0.44625,0.02058,0.00752,0.13653,0.00872,0,0.00257683,0.00257683,0.00257683
76,23333.1,0.65522,0.06298,0.04902,0.26457,0.00927,0,0.98891,0.99019,0.99376,0.92617,0.98697,0.98862,0.99362,0.99359,0.44527,0.02051,0.0075,0.13568,0.0087,0,0.002525,0.002525,0.002525
77,23580.7,0.65961,0.0618,0.04882,0.26706,0.00936,0,0.9904,0.98992,0.99372,0.9264,0.98874,0.98836,0.99362,0.99358,0.44438,0.02044,0.00751,0.13501,0.00868,0,0.00247317,0.00247317,0.00247317
78,23828.7,0.65545,0.06295,0.04885,0.26065,0.0093,0,0.99064,0.98992,0.99345,0.92677,0.98907,0.98835,0.99333,0.9933,0.44324,0.02034,0.00752,0.13552,0.00865,0,0.00242136,0.00242136,0.00242136
79,24077.4,0.65278,0.06056,0.04888,0.25929,0.00922,0,0.99175,0.99066,0.99369,0.92712,0.99017,0.98844,0.99355,0.99351,0.44224,0.02029,0.00754,0.13462,0.00863,0,0.00236959,0.00236959,0.00236959
80,24326.3,0.65423,0.06196,0.04967,0.26363,0.00931,0,0.99197,0.99019,0.99372,0.92718,0.9905,0.98848,0.99356,0.99352,0.44127,0.02023,0.00755,0.13379,0.0086,0,0.0023179,0.0023179,0.0023179
81,24575.9,0.65445,0.06246,0.04834,0.26446,0.00931,0.0006,0.99113,0.99058,0.99365,0.92782,0.98943,0.98888,0.99357,0.99353,0.44004,0.02012,0.00754,0.13303,0.00858,0,0.00226629,0.00226629,0.00226629
